week_start,Spends,Incremental Sales,Incremental Sales1
02-01-2017,714.68,331,67.5
09-01-2017,2252.58,168,67.6
16-01-2017,1409.61,404,67.86
23-01-2017,1316.95,331,68.13
30-01-2017,1305.4,494,68.3
06-02-2017,1133.8,629,68.35
13-02-2017,1603.79,734,68.3
20-02-2017,3869.53,559,68.17
27-02-2017,1072.76,561,68
06-03-2017,824.55,601,67.8
13-03-2017,929.52,603,67.56
20-03-2017,1563.14,311,67.39
27-03-2017,1961.53,542,67.4
03-04-2017,1813.94,506,67.59
10-04-2017,1748.57,467,67.97
17-04-2017,1684.83,224,68.26
24-04-2017,1911.69,480,68.2
01-05-2017,0,442,67.79
08-05-2017,0,411,67.04
15-05-2017,960.71,488,66.22
22-05-2017,1912.85,799,65.6
29-05-2017,1714.96,444,65.19
05-06-2017,1934.02,598,64.99
12-06-2017,1412.06,565,64.94
19-06-2017,1386.15,731,65
26-06-2017,1752.33,367,65.16
03-07-2017,1990.77,544,65.44
10-07-2017,1947.87,728,65.56
17-07-2017,1864.77,662,65.3
24-07-2017,1374.49,645,64.65
31-07-2017,1307.47,508,63.6
07-08-2017,1367.05,596,62.53
14-08-2017,1470.2,698,61.8
21-08-2017,1442.55,534,61.41
28-08-2017,1109.51,307,61.37
04-09-2017,916.67,555,61.59
11-09-2017,937.96,687,62
18-09-2017,955.25,493,62.6
25-09-2017,716.44,538,63.39
02-10-2017,1664.89,606,64.16
09-10-2017,1810.12,636,64.7
16-10-2017,1802.72,320,65.01
23-10-2017,2318.24,594,65.08
30-10-2017,2684.91,650,65.09
06-11-2017,2827.34,636,65.2
13-11-2017,2132.65,690,65.41
20-11-2017,1344.04,602,65.72
27-11-2017,1495.25,222,66.07
04-12-2017,1536.85,256,66.4
11-12-2017,2103.61,633,66.71
18-12-2017,2290.86,570,67
25-12-2017,2660.53,471,67.26
01-01-2018,2654.53,521,67.5
08-01-2018,2680.68,623,67.71
15-01-2018,2824.07,725,67.88
22-01-2018,2383.98,574,68.04
29-01-2018,2193.3,416,68.2
05-02-2018,2590.64,643,68.36
12-02-2018,2768.27,599,68.52
19-02-2018,3008.74,654,68.64
26-02-2018,2960.78,852,68.7
05-03-2018,2652.81,885,68.69
12-03-2018,2547.94,413,68.62
19-03-2018,2535.12,657,68.46
26-03-2018,2427.62,880,68.2
02-04-2018,2729.84,770,67.84
09-04-2018,3483.79,561,67.38
16-04-2018,6192.17,557,66.98
23-04-2018,5777.06,478,66.8
30-04-2018,5876.25,401,66.85
07-05-2018,5382.09,215,67.12
14-05-2018,6372.67,499,67.38
21-05-2018,6779.28,433,67.4
28-05-2018,5606.52,479,67.18
04-06-2018,5992.58,201,66.72
11-06-2018,4680,356,66.15
18-06-2018,6158.33,340,65.6
25-06-2018,7486.37,733,65.07
02-07-2018,6308.17,436,64.56
09-07-2018,6429.41,563,64.17
16-07-2018,7060.43,568,64
23-07-2018,5688.89,585,64.05
30-07-2018,3476.08,497,64.33
06-08-2018,7263.03,411,64.59
13-08-2018,7246.8,481,64.6
20-08-2018,6699.17,355,64.36
27-08-2018,6416.64,93,63.86
03-09-2018,5460.95,436,63.23
10-09-2018,5095.24,199,62.6
17-09-2018,6517.23,407,61.96
24-09-2018,6871.93,387,61.31
01-10-2018,6500.26,262,60.78
08-10-2018,6414.1,289,60.5
15-10-2018,6296.33,192,60.48
22-10-2018,6594.9,283,60.71
29-10-2018,2980.79,362,61.03
05-11-2018,4556.96,211,61.3
12-11-2018,6468.51,274,61.51
19-11-2018,6308.36,177,61.66
26-11-2018,5977.21,290,61.75
03-12-2018,6372.59,392,61.8
10-12-2018,6190.11,255,61.8
17-12-2018,6068.45,113,61.76
24-12-2018,5770,76,61.64
31-12-2018,6114,193,61.4
07-01-2019,6198.11,519,61.05
14-01-2019,6240.71,405,60.58
21-01-2019,6297.24,400,59.97
28-01-2019,5943.6,177,59.2
04-02-2019,6221.71,105,58.26
11-02-2019,7207.24,314,57.16
18-02-2019,6969.36,342,56.18
25-02-2019,6610.09,529,55.6
04-03-2019,6940.29,459,55.42
11-03-2019,6339.46,513,55.65
18-03-2019,5593.84,371,56.27
25-03-2019,5386.22,378,57.3
01-04-2019,5467.78,383,58
08-04-2019,4873.26,452,57
15-04-2019,5566.77,309,67
22-04-2019,5711.73,351,65
29-04-2019,4582.72,173,63
06-05-2019,5533.3,0,62
13-05-2019,2040.66,0,61
20-05-2019,2714.68,0,60
