Column1,Actual,Forecasted Value,Series 3
Wk  1,2860.262295,2426.83925,2860.262295
Wk  2,2878.540984,2844.180279,2860.362295
Wk  3,2885.04918,2791.728579,2860.462295
Wk  4,2888.590164,2874.337311,2860.562295
Wk  5,2888.688525,2782.668877,2860.662295
Wk  6,2890.295082,3268.163563,2860.762295
Wk  7,2885.442623,3222.154705,2860.862295
Wk  8,2878.754098,2760.184299,2860.962295
Wk  9,2895.213115,2640.727113,2861.062295
Wk  10,2915.262295,2908.467889,2861.162295
Wk  11,2913.196721,2608.074966,2861.262295
Wk  12,2920.213115,2318.045448,2861.362295
Wk  13,2933.42623,3144.339754,2861.462295
Wk  14,2931.803279,3400.843621,2861.562295
Wk  15,2923.491803,2960.447822,2861.662295
Wk  16,2929.770492,2677.178356,2861.762295
Wk  17,2944.52459,2648.209736,2861.862295
Wk  18,2951.672131,2676.090215,2861.962295
Wk  19,2960.754098,2790.47503,2862.062295
Wk  20,2966.47541,3353.810583,2862.162295
Wk  21,2966.377049,3158.036952,2862.262295
Wk  22,2966.42623,3100.962966,2862.362295
Wk  23,2962.52459,2776.431569,2862.462295
Wk  24,2968.213115,2911.522052,2862.562295
Wk  25,2971.409836,3142.142624,2862.662295
Wk  26,2957.262295,2885.722838,2862.762295
Wk  27,2946.04918,2698.321502,2862.862295
Wk  28,2949.442623,2732.157798,2862.962295
Wk  29,2948.360656,2634.702651,2863.062295
Wk  30,2951.885246,2866.792012,2863.162295
Wk  31,2956.672131,2604.848287,2863.262295
Wk  32,2955.770492,2700.990745,2863.362295
Wk  33,2951.885246,2778.0549,2863.462295
Wk  34,2950.327869,3277.210803,2863.562295
Wk  35,2940.065574,3232.255614,2863.662295
Wk  36,2929.327869,2959.863196,2863.762295
Wk  37,2929.754098,2662.125368,2863.862295
Wk  38,2932.540984,2571.033322,2863.962295
Wk  39,2933.606557,2679.17839,2864.062295
Wk  40,2932,2695.939994,2864.162295
Wk  41,2928.196721,3477.802516,2864.262295
Wk  42,2916.213115,3436.161017,2864.362295
Wk  43,2903.852459,2921.921489,2864.462295
Wk  44,2910.704918,2837.457794,2864.562295
Wk  45,2917.590164,2781.705512,2864.662295
Wk  46,2919.229508,2829.043065,2864.762295
Wk  47,2915.901639,2886.178473,2864.862295
Wk  48,2905.491803,3397.699287,2864.962295
Wk  49,2893.557377,3108.289509,2865.062295
Wk  50,2885.393443,2575.601532,2865.162295
Wk  51,2893.04918,2670.656671,2865.262295
Wk  52,2894.196721,2635.926208,2865.362295
Wk  53,2893.131148,2847.938777,2865.462295
Wk  54,2885.803279,2591.398594,2865.562295
Wk  55,2884.819672,2807.953595,2865.662295
Wk  56,2880,2820.319886,2865.762295
Wk  57,2876.163934,2909.250394,2865.862295
Wk  58,2873.704918,2794.223424,2865.962295
Wk  59,2874.901639,2745.438566,2866.062295
Wk  60,2871.409836,2840.360872,2866.162295
Wk  61,2864.114754,2786.602573,2866.262295
Wk  62,2857.704918,3367.215576,2866.362295
Wk  63,2847.360656,3406.925394,2866.462295
Wk  64,2829.688525,2985.284507,2866.562295
Wk  65,2825.885246,2880.959376,2866.662295
Wk  66,2820.229508,2883.863737,2866.762295
Wk  67,2812.836066,2980.197503,2866.862295
Wk  68,2799.47541,2921.409731,2866.962295
Wk  69,2791.04918,3667.496839,2867.062295
Wk  70,2765.803279,3687.99002,2867.162295
Wk  71,2742.57377,3047.134912,2867.262295
Wk  72,2738.967213,2964.331957,2867.362295
Wk  73,2735.04918,2960.877273,2867.462295
Wk  74,2733.95082,3064.251468,2867.562295
Wk  75,2725.081967,2999.45856,2867.662295
Wk  76,2715.311475,3431.413999,2867.762295
Wk  77,2700.393443,3511.302857,2867.862295
Wk  78,2683.540984,3115.095259,2867.962295
Wk  79,2688.688525,3128.106107,2868.062295
Wk  80,2692.245902,3181.826666,2868.162295
Wk  81,2682.934426,3325.666862,2868.262295
Wk  82,2669.704918,2990.515998,2868.362295
Wk  83,2666.409836,3128.831549,2868.462295
Wk  84,2662.655738,3088.087934,2868.562295
Wk  85,2658.032787,2906.255496,2868.662295
Wk  86,2662.983607,2463.065631,2868.762295
Wk  87,2677.622951,2417.361836,2868.862295
Wk  88,2686.409836,2639.525935,2868.962295
Wk  89,2693.081967,2576.374999,2869.062295
Wk  90,2706.147541,2952.288179,2869.162295
Wk  91,2703.983607,2838.570389,2869.262295
Wk  92,2698.459016,2539.886535,2869.362295
Wk  93,2707.639344,2464.743591,2869.462295
Wk  94,2721.163934,2652.444425,2869.562295
Wk  95,2721.885246,2670.66547,2869.662295
Wk  96,2722.557377,2557.586672,2869.762295
Wk  97,2727.737705,3033.033665,2869.862295
Wk  98,2723.868852,2873.916196,2869.962295
Wk  99,2726.737705,2566.781351,2870.062295
Wk  100,2742.147541,2519.915165,2870.162295
Wk  101,2757.114754,2484.081895,2870.262295
Wk  102,2766.704918,2788.58995,2870.362295
Wk  103,2765.508197,2744.191235,2870.462295
Wk  104,2765.737705,3281.813708,2870.562295
Wk  105,2756.245902,3274.06506,2870.662295
Wk  106,2745.065574,2827.738076,2870.762295
Wk  107,2755.983607,2566.200946,2870.862295
Wk  108,2785.344262,2403.093594,2870.962295
Wk  109,2802.04918,2685.030041,2871.062295
Wk  110,2807.229508,2565.692151,2871.162295
Wk  111,2815.52459,2939.519254,2871.262295
Wk  112,2818.52459,2852.584154,2871.362295
Wk  113,2823.42623,2504.925674,2871.462295
Wk  114,2840.721311,2475.414419,2871.562295
Wk  115,2859.557377,2512.756451,2871.662295
Wk  116,2863.836066,2474.718321,2871.762295
Wk  117,2867.409836,2448.63943,2871.862295
