Column1,Actual,Forecasted Value,Series 3
Wk  1,2890.714286,2426.83925,2890.714286
Wk  2,2958.285714,2844.180279,2890.814286
Wk  3,2890.142857,2791.728579,2890.914286
Wk  4,2937.857143,2874.337311,2891.014286
Wk  5,2891.428571,2782.668877,2891.114286
Wk  6,2801.142857,3268.163563,2891.214286
Wk  7,2785.714286,3222.154705,2891.314286
Wk  8,2824.571429,2760.184299,2891.414286
Wk  9,2862.285714,2640.727113,2891.514286
Wk  10,2874.142857,2908.467889,2891.614286
Wk  11,2809.428571,2608.074966,2891.714286
Wk  12,2815.857143,2318.045448,2891.814286
Wk  13,2913,3144.339754,2891.914286
Wk  14,2950.857143,3400.843621,2892.014286
Wk  15,2878,2960.447822,2892.114286
Wk  16,2916.285714,2677.178356,2892.214286
Wk  17,2920.571429,2648.209736,2892.314286
Wk  18,2956,2676.090215,2892.414286
Wk  19,3048.142857,2790.47503,2892.514286
Wk  20,3079,3353.810583,2892.614286
Wk  21,2942,3158.036952,2892.714286
Wk  22,2894,3100.962966,2892.814286
Wk  23,2817.428571,2776.431569,2892.914286
Wk  24,2790.857143,2911.522052,2893.014286
Wk  25,2751.714286,3142.142624,2893.114286
Wk  26,2667.857143,2885.722838,2893.214286
Wk  27,2636.428571,2698.321502,2893.314286
Wk  28,2752.857143,2732.157798,2893.414286
Wk  29,2827.857143,2634.702651,2893.514286
Wk  30,2873.428571,2866.792012,2893.614286
Wk  31,2895,2604.848287,2893.714286
Wk  32,2880.857143,2700.990745,2893.814286
Wk  33,2880.857143,2778.0549,2893.914286
Wk  34,2854,3277.210803,2894.014286
Wk  35,2895.714286,3232.255614,2894.114286
Wk  36,2936.571429,2959.863196,2894.214286
Wk  37,2911.571429,2662.125368,2894.314286
Wk  38,2945.285714,2571.033322,2894.414286
Wk  39,2980.142857,2679.17839,2894.514286
Wk  40,2997.142857,2695.939994,2894.614286
Wk  41,3038,3477.802516,2894.714286
Wk  42,3025,3436.161017,2894.814286
Wk  43,2967.142857,2921.921489,2894.914286
Wk  44,2908,2837.457794,2895.014286
Wk  45,2890.571429,2781.705512,2895.114286
Wk  46,2862.857143,2829.043065,2895.214286
Wk  47,2886.857143,2886.178473,2895.314286
Wk  48,2844.142857,3397.699287,2895.414286
Wk  49,2733.714286,3108.289509,2895.514286
Wk  50,2679,2575.601532,2895.614286
Wk  51,2764.714286,2670.656671,2895.714286
Wk  52,2774.285714,2635.926208,2895.814286
Wk  53,2795,2847.938777,2895.914286
Wk  54,2779.714286,2591.398594,2896.014286
Wk  55,2800.142857,2807.953595,2896.114286
Wk  56,2894.571429,2820.319886,2896.214286
Wk  57,3001.714286,2909.250394,2896.314286
Wk  58,2988.428571,2794.223424,2896.414286
Wk  59,2998.285714,2745.438566,2896.514286
Wk  60,3019.857143,2840.360872,2896.614286
Wk  61,3040,2786.602573,2896.714286
Wk  62,3051.857143,3367.215576,2896.814286
Wk  63,3103.571429,3406.925394,2896.914286
Wk  64,3153.428571,2985.284507,2897.014286
Wk  65,3152.285714,2880.959376,2897.114286
Wk  66,3166.142857,2883.863737,2897.214286
Wk  67,3177,2980.197503,2897.314286
Wk  68,3189.714286,2921.409731,2897.414286
Wk  69,3214.428571,3667.496839,2897.514286
Wk  70,3163.428571,3687.99002,2897.614286
Wk  71,3129.142857,3047.134912,2897.714286
Wk  72,3144.714286,2964.331957,2897.814286
Wk  73,3169.142857,2960.877273,2897.914286
Wk  74,3201,3064.251468,2898.014286
Wk  75,3252.142857,2999.45856,2898.114286
Wk  76,3252.142857,3431.413999,2898.214286
Wk  77,3201.714286,3511.302857,2898.314286
Wk  78,3127,3115.095259,2898.414286
Wk  79,3128,3128.106107,2898.514286
Wk  80,3017.714286,3181.826666,2898.614286
Wk  81,2901,3325.666862,2898.714286
Wk  82,2794.428571,2990.515998,2898.814286
Wk  83,2736.571429,3128.831549,2898.914286
Wk  84,2724.714286,3088.087934,2899.014286
Wk  85,2690.285714,2906.255496,2899.114286
Wk  86,2615.428571,2463.065631,2899.214286
Wk  87,2621,2417.361836,2899.314286
Wk  88,2673.714286,2639.525935,2899.414286
Wk  89,2671.142857,2576.374999,2899.514286
Wk  90,2662,2952.288179,2899.614286
Wk  91,2680.571429,2838.570389,2899.714286
Wk  92,2684.714286,2539.886535,2899.814286
Wk  93,2687.714286,2464.743591,2899.914286
Wk  94,2707.571429,2652.444425,2900.014286
Wk  95,2661.142857,2670.66547,2900.114286
Wk  96,2687.857143,2557.586672,2900.214286
Wk  97,2714.571429,3033.033665,2900.314286
Wk  98,2745.571429,2873.916196,2900.414286
Wk  99,2815,2566.781351,2900.514286
Wk  100,2854.857143,2519.915165,2900.614286
Wk  101,2856.857143,2484.081895,2900.714286
Wk  102,2840.142857,2788.58995,2900.814286
Wk  103,2827.571429,2744.191235,2900.914286
Wk  104,2806.285714,3281.813708,2901.014286
Wk  105,2754.142857,3274.06506,2901.114286
Wk  106,2686.714286,2827.738076,2901.214286
Wk  107,2635.428571,2566.200946,2901.314286
Wk  108,2624.571429,2403.093594,2901.414286
Wk  109,2664,2685.030041,2901.514286
Wk  110,2615.571429,2565.692151,2901.614286
Wk  111,2598.571429,2939.519254,2901.714286
Wk  112,2596.142857,2852.584154,2901.814286
Wk  113,2606.142857,2504.925674,2901.914286
Wk  114,2605.714286,2475.414419,2902.014286
Wk  115,2590.714286,2512.756451,2902.114286
Wk  116,2563.857143,2474.718321,2902.214286
Wk  117,2610.142857,2448.63943,2902.314286
Wk  118,2596.714286,2916.694678,2902.414286
Wk  119,2571.714286,2893.228608,2902.514286
Wk  120,2521.857143,2498.692333,2902.614286
Wk  121,2509.428571,2394.066702,2902.714286
Wk  122,2476.714286,2416.151688,2902.814286
Wk  123,2471,2644.224154,2902.914286
Wk  124,2392.857143,2388.706063,2903.014286
Wk  125,2394.285714,2741.230557,2903.114286
Wk  126,2394.857143,2612.933373,2903.214286
Wk  127,2423.857143,2349.429804,2903.314286
Wk  128,2489.571429,2195.151366,2903.414286
Wk  129,2541.428571,2279.140332,2903.514286
Wk  130,2554.428571,2269.833302,2903.614286
Wk  131,2593.428571,2330.272086,2903.714286
Wk  132,2614.714286,2775.217082,2903.814286
Wk  133,2706.571429,2822.814882,2903.914286
Wk  134,2796.142857,2740.451233,2904.014286
Wk  135,2756.428571,2529.358128,2904.114286
Wk  136,2769.571429,2449.095404,2904.214286
Wk  137,2826,2517.221345,2904.314286
Wk  138,2872.857143,2570.65925,2904.414286
Wk  139,2904.714286,3305.355495,2904.514286
Wk  140,2904,3294.870689,2904.614286
Wk  141,2890.285714,2676.87756,2904.714286
Wk  142,2931.285714,2632.069077,2904.814286
Wk  143,2998.142857,2767.848094,2904.914286
Wk  144,3082.857143,2818.96714,2905.014286
Wk  145,3084.857143,2774.387974,2905.114286
Wk  146,3042.571429,3344.35381,2905.214286
Wk  147,3004.571429,3297.309697,2905.314286
Wk  148,3000.428571,2940.058801,2905.414286
Wk  149,2982.857143,3062.092061,2905.514286
Wk  150,2928,3227.980669,2905.614286
Wk  151,2850.142857,2875.208746,2905.714286
Wk  152,2853.857143,2558.74786,2905.814286
Wk  153,2931.142857,3118.408025,2905.914286
Wk  154,2988.428571,3201.004653,2906.014286
Wk  155,3020.857143,2775.404231,2906.114286
Wk  156,3051.714286,2714.138468,2906.214286
Wk  157,3062.142857,2827.30168,2906.314286
Wk  158,3045.714286,2892.338869,2906.414286
Wk  159,3027.714286,2968.130631,2906.514286
Wk  160,2974.714286,3494.96194,2906.614286
Wk  161,2975.428571,3454.572913,2906.714286
Wk  162,3102.857143,2974.031104,2906.814286
Wk  163,3148.142857,2784.484859,2906.914286
Wk  164,3191.142857,2745.313142,2907.014286
Wk  165,3240.142857,2753.146763,2907.114286
Wk  166,3296.857143,2726.918207,2907.214286
Wk  167,3369.571429,3570.972275,2907.314286
Wk  168,3373.857143,4086.497033,2907.414286
Wk  169,3271.285714,3348.964635,2907.514286
Wk  170,3202.428571,3105.149185,2907.614286
Wk  171,3140,3090.024237,2907.714286
Wk  172,3096.428571,3137.532735,2907.814286
Wk  173,3073.428571,3113.47982,2907.914286
Wk  174,3011.714286,3563.908762,2908.014286
Wk  175,2889.142857,3555.405469,2908.114286
Wk  176,2778.428571,2873.354858,2908.214286
Wk  177,2738.714286,2687.484905,2908.314286
Wk  178,2704.857143,2776.394241,2908.414286
Wk  179,2703.142857,2890.236889,2908.514286
Wk  180,2713.857143,2654.508685,2908.614286
Wk  181,2781,2812.464612,2908.714286
Wk  182,2912.714286,2863.562792,2908.814286
Wk  183,2991.857143,2523.075991,2908.914286
Wk  184,3090.142857,2466.13095,2909.014286
Wk  185,3227.285714,2749.464145,2909.114286
Wk  186,3319.714286,3020.276968,2909.214286
Wk  187,3428.285714,3119.828867,2909.314286
Wk  188,3474.714286,3592.899825,2909.414286
Wk  189,3472.857143,3495.366419,2909.514286
Wk  190,3479.428571,3237.729391,2909.614286
Wk  191,3461.571429,3330.73447,2909.714286
Wk  192,3388.857143,3444.1258,2909.814286
Wk  193,3249.428571,3686.858086,2909.914286
Wk  194,3098.857143,3457.596829,2910.014286
Wk  195,3020.428571,3647.817424,2910.114286
Wk  196,3005.428571,3496.255464,2910.214286
Wk  197,3007.285714,3057.39258,2910.314286
Wk  198,3002.142857,2810.57512,2910.414286
Wk  199,3023.142857,2564.137639,2910.514286
Wk  200,3104.857143,2763.4781,2910.614286
Wk  201,3150,2910.226386,2910.714286
Wk  202,3151,3476.419332,2910.814286
Wk  203,3151.714286,3476.85624,2910.914286
Wk  204,3127.857143,3069.942736,2911.014286
Wk  205,3116.142857,2992.023404,2911.114286
Wk  206,3100,3008.779579,2911.214286
Wk  207,3093.571429,3054.885467,2911.314286
Wk  208,3119.285714,2967.212407,2911.414286
Wk  209,3145.714286,3463.666381,2911.514286
Wk  210,3140.428571,3349.907644,2911.614286
Wk  211,3166.571429,2973.256355,2911.714286
Wk  212,3174.857143,2896.670693,2911.814286
Wk  213,3170.285714,2986.642581,2911.914286
Wk  214,3160.857143,3189.065313,2912.014286
Wk  215,3132.857143,3114.290139,2912.114286
Wk  216,3134,3497.440237,2912.214286
Wk  217,3176.857143,3483.965177,2912.314286
Wk  218,3190.714286,3034.779069,2912.414286
Wk  219,3230.428571,2878.977832,2912.514286
Wk  220,3254.857143,2919.783981,2912.614286
Wk  221,3297,3060.129896,2912.714286
Wk  222,3330.142857,3134.465538,2912.814286
Wk  223,3333.285714,3710.79729,2912.914286
Wk  224,3304.285714,3626.295865,2913.014286
Wk  225,3246.714286,3267.379235,2913.114286
Wk  226,3204.142857,3074.94503,2913.214286
Wk  227,3201.857143,3174.348088,2913.314286
Wk  228,3179.285714,3254.476328,2913.414286
Wk  229,3115,3151.225904,2913.514286
Wk  230,3099.571429,3528.024158,2913.614286
Wk  231,3121.714286,3296.34074,2913.714286
Wk  232,3194.714286,3006.54863,2913.814286
Wk  233,3197.571429,2983.888372,2913.914286
Wk  234,3179.285714,2998.057853,2914.014286
Wk  235,3216,2924.437108,2914.114286
Wk  236,3288.857143,3047.356303,2914.214286
Wk  237,3322.428571,3668.731183,2914.314286
Wk  238,3320.285714,3648.201417,2914.414286
