Week (since investment),Media - Digital,Media - Offline,Promo
0,69516.82,65011.58,388809.39
1,72515.64,48127.49,0
2,47234.75,32232.27,0
3,72675.62,56621.84,0
4,90334.57,106875.33,0
5,88179.86,70188.53,0
6,130515.02,56114.48,0
7,118886.61,49099.4,0
8,123036.22,43202.57,0
9,107240.32,37333.59,0
10,92748.84,31619.4,0
11,79830.88,26141.3,0
12,69904.77,21128.61,0
13,62086.09,16815.75,0
14,55058.06,13189.82,0
15,48718.72,10095.01,0
16,43308.69,7440.91,0
17,38877.73,5216.48,0
18,35179.02,3449.98,0
19,31954.04,2156.04,0
20,29031.28,1289.51,0
21,26309.49,751.31,0
22,23740.7,432.81,0
23,21310.52,248.7,0
24,19018.74,143.03,0
25,16866.3,82.37,0
26,14850.57,47.5,0
27,12966.78,27.46,0
28,11211.68,15.92,0
29,9586.78,9.26,0
30,8100.73,5.42,0
31,6773.37,3.2,0
32,5653.8,1.93,0
33,4983.2,1.25,0
34,37.96,0.06,0
35,2022.41,0.31,0
36,1639.07,0.2,0
37,1241.45,0.12,0
38,915.54,0.07,0
39,664.6,0.05,0
40,477.34,0.03,0
41,340.25,0.02,0
42,241.25,0,0
43,170.42,0,0
44,120.01,0,0
45,84.39,0,0
46,59.26,0,0
47,41.57,0,0
48,29.16,0,0
49,20.43,0,0
50,14.29,0,0
51,10.03,0,0
52,7.02,0,0
